image_id,latitude,longitude,country_iso,country_name
IMG_00001,50.38157399591512,26.06185137447767,UA,UA
IMG_00002,34.529443364291524,-114.69319415563255,US,US
IMG_00003,-25.080840431565264,136.64618072733504,AU,AU
IMG_00004,37.638610441311386,-10.262690826961062,OCEAN,Ocean
IMG_00005,-33.96629332784958,17.305832309615596,OCEAN,Ocean
IMG_00006,42.93134894990931,-94.857343621229,US,US
IMG_00007,-7.307925923499624,-48.93321544280116,BR,BR
IMG_00008,38.33831601709875,-103.62200002556182,US,US
IMG_00009,46.00026999572782,28.07856634340112,RO,RO
IMG_00010,11.917608126725725,-96.20943717781056,OCEAN,Ocean
IMG_00011,3.167666320125392,-78.99678232598436,OCEAN,Ocean
IMG_00012,59.06779250406333,32.93042491629848,RU,RU
IMG_00013,44.83179624832249,-124.86047692929182,OCEAN,Ocean
IMG_00014,54.35822252170436,110.13632418030288,RU,RU
IMG_00015,60.48636123744734,-90.63498280356109,OCEAN,Ocean
IMG_00016,-27.496989505865884,-72.77862466741387,OCEAN,Ocean
IMG_00017,28.270102869511675,-113.0236970538785,MX,MX
IMG_00018,36.2334430888495,-116.60641510042672,US,US
IMG_00019,54.70857152603793,-124.05385454371591,CA,CA
IMG_00020,-20.88717145910573,-64.22069568212675,BO,BO
IMG_00021,58.14811046886092,18.635296398896173,OCEAN,Ocean
IMG_00022,62.30332465118727,110.08194899975116,RU,RU
IMG_00023,29.619561017024267,79.17435205965899,IN,IN
IMG_00024,-18.490732832484355,32.53400396205086,ZW,ZW
IMG_00025,-16.638747766523863,21.497856492717887,AO,AO
IMG_00026,52.2974351837878,34.45042265799748,RU,RU
IMG_00027,14.261340267369135,9.043600241771545,NE,NE
IMG_00028,40.424649684576366,-101.16944243790522,US,US
IMG_00029,58.55751072385786,-117.04772387517426,CA,CA
IMG_00030,-15.04358663199126,-55.63979736884747,BR,BR
IMG_00031,49.06320683957162,-108.60407503158882,CA,CA
IMG_00032,55.81749262720558,10.714801210450103,DK,DK
